nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000235	Uma Thurman	1970	\N	actress,soundtrack,producer	tt0110912,tt0118688,tt0266697,tt0378194
nm0000247	John Woo	1946	\N	director,producer,writer	tt0425637,tt0104684,tt0092263,tt0119094
nm0000251	Timothy Dowling	1973	\N	actor,writer,script_department	tt0181852,tt1564367,tt1596350,tt2120120
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt0840361,tt1024648,tt0119217,tt2267998
nm0000269	Jean-Jacques Annaud	1943	\N	director,producer,writer	tt2909116,tt0215750,tt0120102,tt0091605
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0057115,tt0107290,tt0083987,tt0110527
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0071230,tt0094012,tt0395251,tt0082517
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt1142977,tt0408236,tt0099487,tt0121164
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0068646,tt0071562,tt0071360,tt0078788
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0107290,tt0070909,tt0108757,tt0117998
nm0000343	David Cronenberg	1943	\N	director,actor,writer	tt0120907,tt0091064,tt0094964,tt0115964
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt3659388,tt0119217,tt0134119,tt0407887
nm0000361	Brian De Palma	1940	\N	director,writer,producer	tt0094226,tt0071994,tt0080661,tt0086984
nm0000365	Julie Delpy	1969	\N	actress,writer,director	tt0112471,tt0111507,tt0841044,tt0381681
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt0120685,tt1628841,tt0116629,tt0319262
nm0000399	David Fincher	1962	\N	director,producer,actor	tt0443706,tt1285016,tt0114369,tt2267998
nm0000416	Terry Gilliam	1940	\N	writer,actor,animation_department	tt0071853,tt0081633,tt0088846,tt1054606
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0109642,tt0084434,tt0106469,tt0350258
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0119488,tt0185014,tt0104389,tt0388125
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0088847,tt0091042,tt0093748,tt0090305
nm0000466	Jean-Pierre Jeunet	1953	\N	director,writer,producer	tt0101700,tt0211915,tt0344510,tt1149361
nm0000487	Ang Lee	1954	\N	director,producer,writer	tt0190332,tt0114388,tt0808357,tt0454876
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt0091939,tt0097216,tt0102175,tt0104797
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt0405296,tt0243017,tt2209418,tt1065073
nm0000519	David Mamet	1947	\N	writer,producer,director	tt0104348,tt0120885,tt0093223,tt0120202
nm0000520	Michael Mann	1943	\N	producer,writer,director	tt0140352,tt0104691,tt0091474,tt0369339
nm0000576	Sean Penn	1960	\N	actor,director,producer	tt0112818,tt0315733,tt1013753,tt0327056
nm0000583	Wolfgang Petersen	1941	\N	director,writer,producer	tt0114069,tt0082096,tt0089092,tt0118571
nm0000591	Roman Polanski	1933	\N	director,actor,writer	tt0071315,tt1692486,tt0074811,tt1139328
nm0000600	Sam Raimi	1959	\N	producer,writer,director	tt0145487,tt0106308,tt0099365,tt0083907
nm0000601	Harold Ramis	1944	2014	writer,actor,producer	tt0107048,tt0478311,tt0087332,tt0083131
nm0000604	John C. Reilly	1965	\N	actor,writer,producer	tt0841046,tt2015381,tt0299658,tt3385524
nm0000631	Ridley Scott	1937	\N	producer,director,production_designer	tt0103074,tt0083658,tt0172495,tt3659388
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt3894536,tt5377528,tt5932378,tt8632012
nm0000668	Emma Thompson	1959	\N	actress,writer,soundtrack	tt0314331,tt0104454,tt2140373,tt0114388
nm0000681	Vince Vaughn	1970	\N	producer,actor,writer	tt1078940,tt0396269,tt0452594,tt5657856
nm0000682	Paul Verhoeven	1938	\N	director,producer,writer	tt0389557,tt0093870,tt0164052,tt3716530
nm0000683	Gore Vidal	1925	2012	writer,actor	tt0041061,tt0119177,tt0111732,tt0080491
nm0000697	Billy Wilder	1906	2002	writer,director,producer	tt0047437,tt0053291,tt0043014,tt0053604
nm0000709	Robert Zemeckis	1951	\N	producer,writer,director	tt0109830,tt1907668,tt0118884,tt0088763
nm0000720	Jim Abrahams	1944	\N	writer,producer,director	tt0080339,tt0088286,tt0083466,tt0102059
nm0000735	Brian Aldiss	1925	2017	writer,actor	tt0099612,tt0212720,tt0432260,tt1590816
nm0000759	Paul Thomas Anderson	1970	\N	director,writer,producer	tt0469494,tt1791528,tt0272338,tt0118749
nm0000776	Michael Apted	1941	\N	director,producer,miscellaneous	tt0384766,tt0157583,tt1734493,tt0143145
nm0000783	Dario Argento	1940	\N	writer,director,producer	tt0084777,tt0093677,tt0065143,tt0073582
nm0000807	Jane Austen	1775	1817	writer	tt1374989,tt0114388,tt0116191,tt0416508
nm0000812	Roger Avary	1965	\N	producer,writer,director	tt0292644,tt0110265,tt7248248,tt0110912
nm0000814	John G. Avildsen	1935	2017	director,editor,producer	tt0075148,tt0100507,tt0087538,tt0097647
nm0000875	L. Frank Baum	1856	1919	writer,producer,miscellaneous	tt0000679,tt3581624,tt0004207,tt0032138
nm0000876	Noah Baumbach	1969	\N	writer,director,producer	tt0367089,tt7653254,tt2347569,tt1234654
nm0000881	Michael Bay	1965	\N	producer,director,actor	tt2109248,tt0117500,tt1055369,tt0120591
nm0000905	Roberto Benigni	1952	\N	actor,writer,director	tt0419198,tt0090967,tt0255477,tt0118799
nm0000916	Peter Berg	1964	\N	producer,actor,writer	tt1091191,tt0369339,tt0108724,tt0124198
nm0000934	Bernardo Bertolucci	1941	2018	writer,director,producer	tt0070849,tt0093389,tt0065571,tt0309987
nm0000941	Kathryn Bigelow	1951	\N	director,producer,actress	tt0114558,tt1790885,tt0887912,tt0093605
nm0000948	Shane Black	1961	\N	writer,actor,director	tt1300854,tt3799694,tt0093773,tt0373469
nm0000957	Jan de Bont	1943	\N	cinematographer,producer,camera_department	tt0181689,tt0111257,tt0117998,tt0171363
nm0000965	Danny Boyle	1956	\N	director,producer,writer	tt1542344,tt0111149,tt0289043,tt1010048
nm0000976	Martin Brest	1951	\N	director,producer,actor	tt0119643,tt0095631,tt0105323,tt0086960
nm0000985	James L. Brooks	1940	\N	writer,producer,miscellaneous	tt0092699,tt0119822,tt0086425,tt0371246
nm0001008	Frank Capra	1897	1991	director,writer,producer	tt0038650,tt0025316,tt0031679,tt0027996
nm0001024	Nick Cassavetes	1959	\N	actor,director,writer	tt1078588,tt0138304,tt0119094,tt0092240
nm0001037	Graham Chapman	1941	1989	writer,actor,soundtrack	tt0079470,tt0071853,tt0066765,tt0085959
nm0001047	Michael Cimino	1939	2016	writer,director,producer	tt0077416,tt0080855,tt0067756,tt0090350
nm0001053	Ethan Coen	1957	\N	producer,writer,director	tt1019452,tt0116282,tt2042568,tt6412452
nm0001054	Joel Coen	1954	\N	producer,writer,director	tt1019452,tt0116282,tt2042568,tt6412452
nm0001060	Chris Columbus	1958	\N	producer,writer,director	tt0295297,tt1454029,tt0241527,tt0294870
nm0001068	Sofia Coppola	1971	\N	actress,director,writer	tt0335266,tt0099674,tt0159097,tt5592248
nm0001081	Cameron Crowe	1957	\N	writer,producer,director	tt0116695,tt0181875,tt0259711,tt0105415
nm0001094	Roald Dahl	1916	1990	writer,actor,soundtrack	tt0047708,tt0067992,tt0100944,tt0062512
nm0001102	Joe Dante	1946	\N	director,producer,miscellaneous	tt0093260,tt0122718,tt0082533,tt0087363
nm0001104	Frank Darabont	1959	\N	writer,producer,director	tt0120689,tt1520211,tt0884328,tt0111161
nm0001112	Andrew Davis	1946	\N	director,cinematographer,writer	tt0406816,tt0106977,tt0105690,tt0311289
nm0001129	Jonathan Demme	1944	2017	director,producer,writer	tt0268126,tt0102926,tt1084950,tt0107818
nm0001130	Ted Demme	1963	2002	director,producer,actor	tt0123964,tt0342275,tt0115639,tt0221027
nm0001140	Philip K. Dick	1928	1982	writer	tt0083658,tt0100802,tt0181689,tt0405296
nm0001149	Richard Donner	1930	\N	director,producer,actor	tt0089457,tt0093409,tt0078346,tt0118883
nm0001188	Nora Ephron	1941	2012	writer,producer,director	tt1135503,tt0128853,tt0098635,tt0374536
nm0001191	Adam Sandler	1966	\N	actor,producer,writer	tt0120484,tt0142342,tt0185431,tt0120888
nm0001220	Ian Fleming	1908	1964	writer,miscellaneous	tt0059800,tt0055928,tt0381061,tt0086006
nm0001232	Milos Forman	1932	2018	director,writer,actor	tt0117318,tt0086879,tt0079261,tt0073486
nm0001243	William Friedkin	1935	\N	director,writer,producer	tt0067116,tt0070047,tt1726669,tt0090180
nm0001279	William Goldman	1931	2018	writer,miscellaneous,producer	tt0064115,tt0093779,tt0116409,tt0074119
nm0001317	Renny Harlin	1959	\N	producer,director,writer	tt0106582,tt2238032,tt0149261,tt0099423
nm0001328	Howard Hawks	1896	1977	director,writer,producer	tt0056059,tt0037382,tt0040724,tt0053221
nm0001338	Brian Helgeland	1961	\N	writer,director,producer	tt0183790,tt0453562,tt0119488,tt0328107
nm0001351	George Roy Hill	1921	2002	director,actor,writer	tt0070735,tt0064115,tt0069280,tt0076723
nm0001353	Walter Hill	1942	\N	producer,writer,director	tt0083511,tt0080120,tt0090605,tt0088194
nm0001385	Eric Idle	1943	\N	actor,writer,soundtrack	tt0096764,tt0079470,tt0071853,tt0085959
nm0001392	Peter Jackson	1961	\N	producer,director,writer	tt0092610,tt0120737,tt0360717,tt0110005
nm0001402	Terry Jones	1942	\N	writer,actor,producer	tt0071853,tt0118172,tt0079470,tt0085959
nm0001403	Neil Jordan	1950	\N	writer,producer,director	tt0411195,tt0117039,tt1582457,tt0104036
nm0001410	Lawrence Kasdan	1949	\N	writer,producer,director	tt0080684,tt0111756,tt0090022,tt0085244
nm0001465	Elmore Leonard	1925	2013	writer,producer,miscellaneous	tt0119396,tt1489428,tt0113161,tt0120780
nm0001466	Sergio Leone	1929	1989	assistant_director,writer,director	tt0067140,tt0058461,tt0064116,tt0087843
nm0001469	Barry Levinson	1942	\N	producer,writer,director	tt0083833,tt0120885,tt0095953,tt0105629
nm0001486	Sidney Lumet	1924	2011	director,producer,writer	tt0292963,tt0071877,tt0072890,tt0050083
nm0001508	Penny Marshall	1943	2018	actress,director,producer	tt0099077,tt0074016,tt0094737,tt0104694
nm0001532	John McTiernan	1951	\N	director,producer,writer	tt0093773,tt0107362,tt0246894,tt0095016
nm0001548	Rick Moranis	1953	\N	actor,writer,producer	tt0087332,tt0098067,tt0091419,tt0094012
nm0001565	Mike Newell	1942	\N	director,producer,actor	tt0109831,tt0104522,tt0330373,tt0119008
nm0001566	Mike Nichols	1931	2014	director,producer,miscellaneous	tt0061184,tt0376541,tt0115685,tt0061722
nm0001589	Michael Palin	1943	\N	actor,writer,soundtrack	tt0071853,tt0081633,tt0085959,tt0095159
nm0001639	Alex Proyas	1963	\N	director,writer,producer	tt0118929,tt2404233,tt0448011,tt0109506
nm0001661	Rob Reiner	1947	\N	actor,writer,producer	tt0104257,tt0993846,tt0066626,tt0088258
nm0001675	Robert Rodriguez	1968	\N	producer,writer,director	tt0285823,tt0287717,tt0458481,tt0104815
nm0001681	George A. Romero	1940	2017	producer,writer,director	tt0095652,tt0063350,tt0848557,tt0418819
nm0001707	Paul Schrader	1946	\N	writer,director,soundtrack	tt0075314,tt0081398,tt0118564,tt6053438
nm0001708	Joel Schumacher	1939	\N	director,writer,producer	tt0183649,tt0134273,tt0118688,tt0293508
nm0001716	Tony Scott	1944	2012	producer,director,actor	tt0108399,tt0116277,tt0477080,tt0421054
nm0001723	Tom Shadyac	1958	\N	producer,director,actor	tt1741225,tt0117218,tt0109040,tt0259288
nm0001741	Bryan Singer	1965	\N	producer,director,writer	tt0114814,tt0348150,tt0120903,tt1877832
nm0001752	Steven Soderbergh	1963	\N	producer,director,cinematographer	tt0098724,tt0181865,tt1291580,tt0195685
nm0001756	Barry Sonnenfeld	1953	\N	producer,director,actor	tt0113161,tt0119654,tt0120891,tt1409024
nm0001774	Ben Stiller	1965	\N	producer,actor,director	tt0942385,tt0196229,tt1608290,tt0129387
nm0001778	Matt Stone	1971	\N	music_department,writer,producer	tt0131857,tt0372588,tt0158983,tt0121955
nm0001779	Tom Stoppard	1937	\N	writer,actor,producer	tt1781769,tt0088846,tt0138097,tt0100519
nm0001801	Robert Towne	1934	\N	writer,producer,actor	tt0070290,tt0071315,tt0117060,tt0096244
nm0001814	Gus Van Sant	1952	\N	director,producer,writer	tt0102494,tt0363589,tt0842929,tt0097240
nm0001825	Andrew Kevin Walker	1964	\N	writer,actor,miscellaneous	tt0162661,tt0258000,tt0114369,tt0134273
nm0001837	Peter Weir	1944	\N	director,writer,producer	tt0120382,tt1023114,tt0311113,tt0090329
nm0001873	Steven Zaillian	1953	\N	writer,producer,director	tt1568346,tt0120633,tt0108065,tt0108052
nm0001878	David Zucker	1947	\N	writer,producer,director	tt0088286,tt0080339,tt0102510,tt0362120
nm0001880	Edward Zwick	1952	\N	producer,writer,director	tt0115956,tt0092492,tt0138097,tt0325710
nm0001915	Emile Ardolino	1943	1993	director,producer,miscellaneous	tt0107065,tt0149439,tt0092890,tt0085655
nm0001920	Isaac Asimov	1920	1992	writer,miscellaneous,actor	tt0182789,tt0343818,tt0079945,tt0094529
nm0001921	Paul Attanasio	1959	\N	writer,producer	tt0110932,tt0120184,tt0109635,tt0119008
nm0001940	Peter Benchley	1940	2006	writer,producer,actor	tt0073195,tt0085750,tt0077766,tt0093300
nm0001949	Andrew Birkin	1945	\N	writer,miscellaneous,director	tt0094816,tt0396171,tt0106535,tt0091605
nm0002005	Agatha Christie	1890	1976	writer,camera_department	tt0029171,tt3402236,tt1349600,tt0051201
nm0002009	Arthur C. Clarke	1917	2008	writer,actor,art_department	tt0134933,tt0086837,tt0062622,tt0043238
nm0002030	George Cukor	1899	1983	director,miscellaneous,assistant_director	tt0047522,tt0050631,tt0032904,tt0058385
nm0002031	Michael Curtiz	1886	1962	director,actor,writer	tt0029843,tt0034583,tt0047673,tt0054757
nm0002041	Dean Devlin	1962	\N	producer,actor,director	tt1628841,tt0111282,tt0120685,tt0116629
nm0002045	Stanley Donen	1924	2019	director,miscellaneous,producer	tt0056923,tt0062407,tt0045152,tt0050814
nm0002071	Will Ferrell	1967	\N	actor,producer,soundtrack	tt0415306,tt0445934,tt1229340,tt0357413
nm0002080	Bob Fosse	1927	1987	miscellaneous,soundtrack,actor	tt0256153,tt0078754,tt0071746,tt0068327
nm0002120	Lasse Hallström	1946	\N	director,writer,cinematographer	tt0108550,tt0241303,tt2980648,tt0089606
nm0002144	John Houseman	1902	1988	actor,producer,miscellaneous	tt0070509,tt0073802,tt0073631,tt0080749
nm0002376	David Hare	1947	\N	writer,director,producer	tt1797469,tt0090310,tt0274558,tt0976051
nm0002417	Daniel Pyne	\N	\N	writer,producer,director	tt0488120,tt0164184,tt0118150,tt0368008
nm0002582	Christopher Rouse	1958	\N	editor,editorial_department,producer	tt0317740,tt1535109,tt0475276,tt0440963
nm0002653	Joe Johnston	1950	\N	director,visual_effects,producer	tt0102803,tt0132477,tt0082971,tt0458339
nm0002657	Gary Ross	1956	\N	writer,producer,director	tt0120789,tt1392170,tt0329575,tt0094737
nm0002718	Brian Koppelman	1966	\N	writer,producer,director	tt2364841,tt0496806,tt0465538,tt0313542
nm0002728	Juan José Campanella	1959	\N	writer,actor,director	tt0210843,tt0347449,tt1305806,tt1994702
nm0002759	Ernesto Gastaldi	1934	\N	writer,director,assistant_director	tt0087261,tt0061906,tt0062806,tt0082827
nm0002864	Michael Markowitz	1961	\N	producer,writer,miscellaneous	tt0366034,tt0174378,tt1499658,tt0108755
nm0002892	Wally Pfister	1961	\N	cinematographer,camera_department,director	tt0482571,tt0468569,tt1345836,tt1375666
nm0003031	Caroline Thompson	1956	\N	writer,producer,director	tt0101272,tt0099487,tt0121164,tt0107688
nm0003117	Ken Wheat	1950	\N	writer,producer,director	tt0134847,tt1411250,tt0095742,tt0296572
nm0003160	Christopher McQuarrie	1968	\N	writer,producer,director	tt0114814,tt2345759,tt1631867,tt4912910
nm0003298	Scott Rosenberg	1963	\N	producer,writer,actor	tt0115639,tt0187078,tt7975244,tt0118880
nm0003321	Scott Mitchell Rosenberg	\N	\N	producer,writer,actor	tt1013860,tt0409847,tt0290966,tt0119654
nm0003408	Chris Marker	1921	2012	director,writer,editor	tt0054799,tt0056119,tt0084628,tt0114746
nm0003418	Rob Cohen	1949	\N	producer,director,actor	tt0116136,tt0382992,tt0106770,tt0859163
nm0003506	James Mangold	1963	\N	producer,director,writer	tt0113280,tt3315342,tt0358273,tt1950186
nm0003529	Dan Harris	1979	\N	writer,director,producer	tt0348150,tt0290334,tt0373024,tt3385516
nm0003620	Kevin Smith	1970	\N	producer,writer,actor	tt0109445,tt0118842,tt0120655,tt0424345
nm0003662	Graham Yost	1959	\N	producer,writer,script_department	tt0374463,tt1489428,tt0120570,tt0111257
nm0003697	Florian Henckel von Donnersmarck	1973	\N	director,writer,producer	tt0405094,tt5311542,tt0233589,tt1243957
nm0003825	Andrew Neiderman	1940	\N	writer,miscellaneous,producer	tt0118971,tt2393727,tt0095871,tt8901446
nm0004056	Andrew Stanton	1965	\N	writer,actor,producer	tt0120623,tt0266543,tt2277860,tt0910970
nm0004111	Mark Frost	1953	\N	writer,producer,miscellaneous	tt0081873,tt0098936,tt4093826,tt0120667
nm0004122	Robert Bolt	1924	1995	writer,director,actor	tt0091530,tt0059113,tt0056172,tt0060665
nm0004170	Bob Kane	1915	1998	writer,miscellaneous,art_department	tt0096895,tt0372784,tt0468569,tt0103776
nm0004303	Gavin Hood	1963	\N	actor,producer,director	tt5431890,tt0468565,tt2057392,tt0178860
nm0004306	George Miller	1945	\N	producer,writer,director	tt1392190,tt0366548,tt0079501,tt0082694
nm0004307	Shane Salerno	1972	\N	writer,producer,music_department	tt1630029,tt1596753,tt1615065,tt0120591
nm0004410	Mark Neveldine	1973	\N	actor,director,writer	tt0479884,tt1034032,tt1121931,tt0964539
nm0004412	Ed Solomon	1960	\N	writer,producer,actor	tt0096928,tt0119654,tt0304328,tt3110958
nm0004552	Tom Sito	1956	\N	art_department,animation_department,director	tt0103639,tt0120794,tt0110357,tt0181739
nm0004716	Darren Aronofsky	1969	\N	producer,director,writer	tt5109784,tt1959490,tt0138704,tt0180093
nm0004798	Stephen J. Cannell	1941	2010	writer,producer,actor	tt0092484,tt0071042,tt0080289,tt0081871
nm0004981	Matt Groening	1954	\N	writer,producer,animation_department	tt0462538,tt0149460,tt0096697,tt5363918
nm0005036	Gale Anne Hurd	1955	\N	producer,writer,miscellaneous	tt0096754,tt0088247,tt0090605,tt0120591
nm0005069	Spike Jonze	1969	\N	producer,director,writer	tt1798709,tt0386117,tt0120601,tt0120188
nm0005124	John Lasseter	1957	\N	producer,writer,director	tt0317219,tt0120363,tt0120623,tt0114709
nm0005190	Garry Marshall	1934	2016	writer,producer,actor	tt0151738,tt0100405,tt1598822,tt0104694
nm0005222	Sam Mendes	1965	\N	producer,director,miscellaneous	tt8579674,tt0257044,tt0959337,tt1074638
nm0005295	Trey Parker	1969	\N	music_department,writer,producer	tt0158983,tt0372588,tt0121955,tt0124819
nm0005351	Ryan Reynolds	1976	\N	actor,producer,soundtrack	tt1431045,tt5463162,tt1462758,tt1041829
nm0005363	Guy Ritchie	1968	\N	director,producer,writer	tt0988045,tt0120735,tt0208092,tt6139732
nm0005366	Jay Roach	1957	\N	producer,director,writer	tt0118655,tt0109303,tt6394270,tt3203606
nm0005421	Ron Shelton	1945	\N	writer,director,producer	tt0329717,tt0117918,tt0094812,tt0105812
nm0005436	John Singleton	1968	2019	producer,writer,director	tt0255819,tt0101507,tt0162650,tt0430105
nm0005509	Jon Turteltaub	1963	\N	producer,director,writer	tt0117333,tt0106611,tt0114924,tt0368891
nm0005540	Keenen Ivory Wayans	1958	\N	writer,producer,actor	tt0381707,tt0098830,tt0430304,tt0095348
nm0005541	Marlon Wayans	1972	\N	actor,writer,producer	tt0116126,tt0430304,tt0381707,tt1046173
nm0005562	Owen Wilson	1968	\N	actor,producer,writer	tt0115734,tt0265666,tt0362270,tt0396269
nm0006085	Arthur Freed	1894	1973	soundtrack,producer,music_department	tt0095016,tt0120685,tt0045152,tt0043278
nm0006476	Paul McGuigan	1963	\N	director,producer	tt0324554,tt0122515,tt0425210,tt1976009
nm0006516	Chris Terrio	1976	\N	writer,director,editor	tt2527338,tt0974015,tt1024648,tt2975590
nm0006534	Phil Hay	\N	\N	writer,producer,actor	tt0250224,tt2400463,tt1408253,tt7137380
nm0006765	Vidhu Vinod Chopra	\N	\N	writer,producer,director	tt0374887,tt1187043,tt2338151,tt0456144
nm0006872	Sergio Donati	1933	\N	writer,actor,assistant_director	tt0064116,tt0091828,tt0067140,tt0063859
nm0006904	Tony Gilroy	1956	\N	producer,writer,director	tt3748528,tt1135487,tt0465538,tt2872718
nm0006960	John Madden	1949	\N	director,producer,writer	tt4540710,tt0377107,tt1412386,tt0138097
nm0007182	Alex Cox	1954	\N	actor,director,writer	tt0091954,tt0943982,tt0087995,tt0488604
nm0007646	Frank Abagnale Jr.	1948	\N	actor,writer,miscellaneous	tt0063959,tt0170980,tt0264464,tt1148756
nm0008743	Jonathan Aibel	1969	\N	producer,writer,miscellaneous	tt0441773,tt1302011,tt2267968,tt0118375
nm0009190	J.J. Abrams	1966	\N	producer,writer,music_department	tt0411008,tt0796366,tt1650062,tt2488496
nm0009207	Marc Abrams	\N	\N	producer,writer,miscellaneous	tt0285341,tt1630574,tt0387199,tt6146586
nm0010004	Peter Ackerman	\N	\N	producer,writer,actor	tt0268380,tt2149175,tt0438097,tt1080016
nm0010930	Douglas Adams	1952	2001	writer,script_department,miscellaneous	tt0371724,tt0081874,tt5577100,tt4047038
nm0011470	Andrew Adamson	1966	\N	producer,writer,director	tt0126029,tt0499448,tt0363771,tt0298148
nm0013234	David Agosto	\N	\N	writer,director,editor	tt1764651,tt0225181,tt1276438
nm0017690	Matthew Aldrich	\N	\N	writer,producer,actor	tt0896798,tt2408146,tt5616294,tt2380307
nm0018630	Michele Alexander	\N	\N	writer	tt2404573,tt0251127
nm0018735	Scott Alexander	1963	\N	writer,producer,director	tt0109707,tt0117318,tt1126590,tt2788432
nm0019247	Tomas Alfredson	1965	\N	director,music_department,writer	tt1340800,tt1139797,tt0342636,tt1758810
nm0019706	Joan Alison	1901	1992	writer	tt0034583,tt0044265,tt0042123,tt0047719
nm0020599	J.T. Allen	\N	\N	writer,art_department,miscellaneous	tt0388367,tt6316816,tt0800095,tt0110357
nm0021249	Roger Allers	1949	\N	writer,art_department,director	tt0101414,tt0110357,tt0084827,tt0103639
nm0023395	Charles Alverson	1935	\N	writer	tt0076221
nm0024622	Alejandro Amenábar	1972	\N	writer,director,composer	tt0369702,tt0125659,tt0117883,tt0230600
nm0024925	Hossein Amini	1966	\N	writer,producer,director	tt1735898,tt0780504,tt1758810,tt1976000
nm0026153	Hans Christian Andersen	1805	1875	writer,soundtrack,miscellaneous	tt0040725,tt2294629,tt5971474,tt0097757
nm0026442	Brad Anderson	1964	\N	director,producer,writer	tt0261983,tt0119778,tt0361862,tt0800241
nm0027173	Maxwell Anderson	1888	1959	writer,soundtrack,music_department	tt0020629,tt0040506,tt0119643,tt0093818
nm0027271	Paul W.S. Anderson	1965	\N	writer,producer,director	tt1509767,tt0113855,tt0119081,tt0318627
nm0027459	Stephen J. Anderson	1970	\N	director,animation_department,actor	tt0120855,tt0120917,tt1449283,tt0396555
nm0027572	Wes Anderson	1969	\N	writer,director,producer	tt1748122,tt0265666,tt0432283,tt5104604
nm0028764	Mark Andrews	1968	\N	art_department,writer,miscellaneous	tt0129167,tt0145487,tt0401729,tt1217209
nm0029125	Mark Andrus	\N	\N	writer	tt0791304,tt0119822,tt0264796,tt2465146
nm0030735	Nimród Antal	1973	\N	director,actor,writer	tt2172935,tt0985694,tt1424381,tt0373981
nm0031976	Judd Apatow	1967	\N	producer,writer,director	tt1723816,tt0405422,tt1758830,tt0478311
nm0032227	Josh Appelbaum	\N	\N	producer,writer,camera_department	tt1291150,tt3949660,tt1229238,tt0787490
nm0033153	David Arata	\N	\N	writer,producer	tt0206634,tt0266987,tt5968274,tt0120620
